Hari,Tanggal,Waktu,Time to collision,Kategori SCE
Minggu,16 Juli 2023,20:55:24,10.420000000000002,
Minggu,16 Juli 2023,20:55:25,22.813953488372086,
Minggu,16 Juli 2023,20:55:26,2.3254054054054056,
Minggu,16 Juli 2023,20:55:27,nan,
Minggu,16 Juli 2023,20:55:28,11.412448132780082,
Minggu,16 Juli 2023,20:55:29,25.553571428571487,
Minggu,16 Juli 2023,20:55:30,80.50000000000014,
Minggu,16 Juli 2023,20:55:31,nan,
Minggu,16 Juli 2023,20:55:32,2.2229007633587785,
Minggu,16 Juli 2023,20:55:33,nan,
Minggu,16 Juli 2023,20:55:34,nan,
Minggu,16 Juli 2023,20:55:35,nan,
Minggu,16 Juli 2023,20:55:36,nan,
Minggu,16 Juli 2023,20:55:37,nan,
Minggu,16 Juli 2023,20:55:38,nan,
Minggu,16 Juli 2023,20:55:39,nan,
Minggu,16 Juli 2023,20:55:40,nan,
Minggu,16 Juli 2023,20:55:41,nan,
Minggu,16 Juli 2023,20:55:42,nan,
Minggu,16 Juli 2023,20:55:43,nan,
Minggu,16 Juli 2023,20:55:44,nan,
Minggu,16 Juli 2023,20:55:45,nan,
Minggu,16 Juli 2023,20:55:46,nan,
Minggu,16 Juli 2023,20:55:47,nan,
Minggu,16 Juli 2023,20:55:48,nan,
Minggu,16 Juli 2023,20:55:49,nan,
Minggu,16 Juli 2023,20:55:50,nan,
Minggu,16 Juli 2023,20:55:51,nan,
Minggu,16 Juli 2023,20:55:52,nan,
Minggu,16 Juli 2023,20:55:53,nan,
Minggu,16 Juli 2023,20:55:54,nan,
Minggu,16 Juli 2023,20:55:55,nan,
Minggu,16 Juli 2023,20:55:56,nan,
Minggu,16 Juli 2023,20:55:57,nan,
Minggu,16 Juli 2023,20:55:58,nan,
Minggu,16 Juli 2023,20:55:59,nan,
Minggu,16 Juli 2023,20:56:00,nan,
Minggu,16 Juli 2023,20:56:01,nan,
Minggu,16 Juli 2023,20:56:02,nan,
Minggu,16 Juli 2023,20:56:03,nan,
Minggu,16 Juli 2023,20:56:04,nan,
Minggu,16 Juli 2023,20:56:05,nan,
Minggu,16 Juli 2023,20:56:06,nan,
Minggu,16 Juli 2023,20:56:07,nan,
Minggu,16 Juli 2023,20:56:08,nan,
Minggu,16 Juli 2023,20:56:09,nan,
Minggu,16 Juli 2023,20:56:10,nan,
Minggu,16 Juli 2023,20:56:11,nan,
Minggu,16 Juli 2023,20:56:12,nan,
Minggu,16 Juli 2023,20:56:13,nan,
Minggu,16 Juli 2023,20:56:14,nan,
Minggu,16 Juli 2023,20:56:15,nan,
Minggu,16 Juli 2023,20:56:16,nan,
Minggu,16 Juli 2023,20:56:17,nan,
Minggu,16 Juli 2023,20:56:18,nan,
Minggu,16 Juli 2023,20:56:19,nan,
Minggu,16 Juli 2023,20:56:20,nan,
Minggu,16 Juli 2023,20:56:21,nan,
Minggu,16 Juli 2023,20:56:22,nan,
Minggu,16 Juli 2023,20:56:23,nan,
Minggu,16 Juli 2023,20:56:24,nan,
Minggu,16 Juli 2023,20:56:25,nan,
Minggu,16 Juli 2023,20:56:26,nan,
Minggu,16 Juli 2023,20:56:27,nan,
Minggu,16 Juli 2023,20:56:28,nan,
Minggu,16 Juli 2023,20:56:29,nan,
Minggu,16 Juli 2023,20:56:30,nan,
Minggu,16 Juli 2023,20:56:31,nan,
Minggu,16 Juli 2023,20:56:32,nan,
Minggu,16 Juli 2023,20:56:33,nan,
Minggu,16 Juli 2023,20:56:34,nan,
Minggu,16 Juli 2023,20:56:35,nan,
Minggu,16 Juli 2023,20:56:36,nan,
Minggu,16 Juli 2023,20:56:37,nan,
Minggu,16 Juli 2023,20:56:38,nan,
Minggu,16 Juli 2023,20:56:39,nan,
Minggu,16 Juli 2023,20:56:40,nan,
Minggu,16 Juli 2023,20:56:41,nan,
Minggu,16 Juli 2023,20:56:42,nan,
Minggu,16 Juli 2023,20:56:43,nan,
Minggu,16 Juli 2023,20:56:44,nan,
Minggu,16 Juli 2023,20:56:45,nan,
Minggu,16 Juli 2023,20:56:46,nan,
Minggu,16 Juli 2023,20:56:47,nan,
Minggu,16 Juli 2023,20:56:48,nan,
Minggu,16 Juli 2023,20:56:49,nan,
Minggu,16 Juli 2023,20:56:50,nan,
Minggu,16 Juli 2023,20:56:51,nan,
Minggu,16 Juli 2023,20:56:52,nan,
Minggu,16 Juli 2023,20:56:53,nan,
Minggu,16 Juli 2023,20:56:54,nan,
Minggu,16 Juli 2023,20:56:55,nan,
Minggu,16 Juli 2023,20:56:56,nan,
Minggu,16 Juli 2023,20:56:57,nan,
Minggu,16 Juli 2023,20:56:58,nan,
Minggu,16 Juli 2023,20:56:59,nan,
Minggu,16 Juli 2023,20:57:00,nan,
Minggu,16 Juli 2023,20:57:01,nan,
Minggu,16 Juli 2023,20:57:02,nan,
Minggu,16 Juli 2023,20:57:03,nan,
Minggu,16 Juli 2023,20:57:04,nan,
Minggu,16 Juli 2023,20:57:05,nan,
Minggu,16 Juli 2023,20:57:06,nan,
Minggu,16 Juli 2023,20:57:07,nan,
Minggu,16 Juli 2023,20:57:08,nan,
Minggu,16 Juli 2023,20:57:09,nan,
Minggu,16 Juli 2023,20:57:10,nan,
Minggu,16 Juli 2023,20:57:11,nan,
Minggu,16 Juli 2023,20:57:12,nan,
Minggu,16 Juli 2023,20:57:13,nan,
Minggu,16 Juli 2023,20:57:14,nan,
Minggu,16 Juli 2023,20:57:15,nan,
Minggu,16 Juli 2023,20:57:16,nan,
Minggu,16 Juli 2023,20:57:17,nan,
Minggu,16 Juli 2023,20:57:18,nan,
Minggu,16 Juli 2023,20:57:19,nan,
Minggu,16 Juli 2023,20:57:20,nan,
Minggu,16 Juli 2023,20:57:21,nan,
Minggu,16 Juli 2023,20:57:22,nan,
Minggu,16 Juli 2023,20:57:23,nan,
Minggu,16 Juli 2023,20:57:24,nan,
Minggu,16 Juli 2023,20:57:25,nan,
Minggu,16 Juli 2023,20:57:26,nan,
Minggu,16 Juli 2023,20:57:27,nan,
Minggu,16 Juli 2023,20:57:28,nan,
Minggu,16 Juli 2023,20:57:29,nan,
Minggu,16 Juli 2023,20:57:30,nan,
Minggu,16 Juli 2023,20:57:31,nan,
Minggu,16 Juli 2023,20:57:32,nan,
Minggu,16 Juli 2023,20:57:33,nan,
Minggu,16 Juli 2023,20:57:34,nan,
Minggu,16 Juli 2023,20:57:35,nan,
Minggu,16 Juli 2023,20:57:36,nan,
Minggu,16 Juli 2023,20:57:37,nan,
Minggu,16 Juli 2023,20:57:38,nan,
Minggu,16 Juli 2023,20:57:39,nan,
Minggu,16 Juli 2023,20:57:40,nan,
Minggu,16 Juli 2023,20:57:41,nan,
Minggu,16 Juli 2023,20:57:42,nan,
Minggu,16 Juli 2023,20:57:43,nan,
Minggu,16 Juli 2023,20:57:44,nan,
Minggu,16 Juli 2023,20:57:45,nan,
Minggu,16 Juli 2023,20:57:46,nan,
Minggu,16 Juli 2023,20:57:47,nan,
Minggu,16 Juli 2023,20:57:48,nan,
Minggu,16 Juli 2023,20:57:49,nan,
Minggu,16 Juli 2023,20:57:50,nan,
Minggu,16 Juli 2023,20:57:51,nan,
Minggu,16 Juli 2023,20:57:52,nan,
Minggu,16 Juli 2023,20:57:53,nan,
Minggu,16 Juli 2023,20:57:54,nan,
Minggu,16 Juli 2023,20:57:55,nan,
Minggu,16 Juli 2023,20:57:56,nan,
Minggu,16 Juli 2023,20:57:57,nan,
Minggu,16 Juli 2023,20:57:58,nan,
Minggu,16 Juli 2023,20:57:59,nan,
Minggu,16 Juli 2023,20:58:00,nan,
Minggu,16 Juli 2023,20:58:01,nan,
Minggu,16 Juli 2023,20:58:02,nan,
Minggu,16 Juli 2023,20:58:03,nan,
Minggu,16 Juli 2023,20:58:04,nan,
Minggu,16 Juli 2023,20:58:05,nan,
Minggu,16 Juli 2023,20:58:06,nan,
Minggu,16 Juli 2023,20:58:07,nan,
Minggu,16 Juli 2023,20:58:08,nan,
Minggu,16 Juli 2023,20:58:09,nan,
Minggu,16 Juli 2023,20:58:10,nan,
Minggu,16 Juli 2023,20:58:11,nan,
Minggu,16 Juli 2023,20:58:12,nan,
Minggu,16 Juli 2023,20:58:13,nan,
Minggu,16 Juli 2023,20:58:14,nan,
Minggu,16 Juli 2023,20:58:15,nan,
Minggu,16 Juli 2023,20:58:16,nan,
Minggu,16 Juli 2023,20:58:17,nan,
Minggu,16 Juli 2023,20:58:18,nan,
Minggu,16 Juli 2023,20:58:19,nan,
Minggu,16 Juli 2023,20:58:20,nan,
Minggu,16 Juli 2023,20:58:21,nan,
Minggu,16 Juli 2023,20:58:22,nan,
Minggu,16 Juli 2023,20:58:23,nan,
Minggu,16 Juli 2023,20:58:24,nan,
Minggu,16 Juli 2023,20:58:25,nan,
Minggu,16 Juli 2023,20:58:26,nan,
Minggu,16 Juli 2023,20:58:27,nan,
Minggu,16 Juli 2023,20:58:28,nan,
Minggu,16 Juli 2023,20:58:29,nan,
Minggu,16 Juli 2023,20:58:30,nan,
Minggu,16 Juli 2023,20:58:31,nan,
Minggu,16 Juli 2023,20:58:32,nan,
Minggu,16 Juli 2023,20:58:33,nan,
Minggu,16 Juli 2023,20:58:34,nan,
Minggu,16 Juli 2023,20:58:35,nan,
Minggu,16 Juli 2023,20:58:36,nan,
Minggu,16 Juli 2023,20:58:37,nan,
Minggu,16 Juli 2023,20:58:38,nan,
Minggu,16 Juli 2023,20:58:39,nan,
Minggu,16 Juli 2023,20:58:40,nan,
Minggu,16 Juli 2023,20:58:41,nan,
Minggu,16 Juli 2023,20:58:42,nan,
Minggu,16 Juli 2023,20:58:43,nan,
Minggu,16 Juli 2023,20:58:44,nan,
Minggu,16 Juli 2023,20:58:45,nan,
Minggu,16 Juli 2023,20:58:46,nan,
Minggu,16 Juli 2023,20:58:47,nan,
Minggu,16 Juli 2023,20:58:48,nan,
Minggu,16 Juli 2023,20:58:49,nan,
Minggu,16 Juli 2023,20:58:50,nan,
Minggu,16 Juli 2023,20:58:51,nan,
Minggu,16 Juli 2023,20:58:52,nan,
Minggu,16 Juli 2023,20:58:53,nan,
Minggu,16 Juli 2023,20:58:54,nan,
Minggu,16 Juli 2023,20:58:55,nan,
Minggu,16 Juli 2023,20:58:56,nan,
Minggu,16 Juli 2023,20:58:57,nan,
Minggu,16 Juli 2023,20:58:58,nan,
Minggu,16 Juli 2023,20:58:59,nan,
Minggu,16 Juli 2023,20:59:00,nan,
Minggu,16 Juli 2023,20:59:01,nan,
Minggu,16 Juli 2023,20:59:02,nan,
Minggu,16 Juli 2023,20:59:03,nan,
Minggu,16 Juli 2023,20:59:04,nan,
Minggu,16 Juli 2023,20:59:05,nan,
Minggu,16 Juli 2023,20:59:06,nan,
Minggu,16 Juli 2023,20:59:07,nan,
Minggu,16 Juli 2023,20:59:08,nan,
Minggu,16 Juli 2023,20:59:09,nan,
Minggu,16 Juli 2023,20:59:10,nan,
Minggu,16 Juli 2023,20:59:11,nan,
Minggu,16 Juli 2023,20:59:12,nan,
Minggu,16 Juli 2023,20:59:13,nan,
Minggu,16 Juli 2023,20:59:14,nan,
Minggu,16 Juli 2023,20:59:15,nan,
Minggu,16 Juli 2023,20:59:16,nan,
Minggu,16 Juli 2023,20:59:17,nan,
Minggu,16 Juli 2023,20:59:18,nan,
Minggu,16 Juli 2023,20:59:19,nan,
Minggu,16 Juli 2023,20:59:20,nan,
Minggu,16 Juli 2023,20:59:21,nan,
Minggu,16 Juli 2023,20:59:22,nan,
Minggu,16 Juli 2023,20:59:23,nan,
Minggu,16 Juli 2023,20:59:24,nan,
Minggu,16 Juli 2023,20:59:25,nan,
Minggu,16 Juli 2023,20:59:26,nan,
Minggu,16 Juli 2023,20:59:27,nan,
Minggu,16 Juli 2023,20:59:28,nan,
Minggu,16 Juli 2023,20:59:29,nan,
Minggu,16 Juli 2023,20:59:30,nan,
Minggu,16 Juli 2023,20:59:31,nan,
Minggu,16 Juli 2023,20:59:32,nan,
Minggu,16 Juli 2023,20:59:33,nan,
Minggu,16 Juli 2023,20:59:34,nan,
Minggu,16 Juli 2023,20:59:35,nan,
Minggu,16 Juli 2023,20:59:36,nan,
Minggu,16 Juli 2023,20:59:37,nan,
Minggu,16 Juli 2023,20:59:38,nan,
Minggu,16 Juli 2023,20:59:39,nan,
Minggu,16 Juli 2023,20:59:40,nan,
Minggu,16 Juli 2023,20:59:41,nan,
Minggu,16 Juli 2023,20:59:42,nan,
Minggu,16 Juli 2023,20:59:43,nan,
Minggu,16 Juli 2023,20:59:44,nan,
Minggu,16 Juli 2023,20:59:45,nan,
Minggu,16 Juli 2023,20:59:46,nan,
Minggu,16 Juli 2023,20:59:47,nan,
Minggu,16 Juli 2023,20:59:48,nan,
Minggu,16 Juli 2023,20:59:49,nan,
Minggu,16 Juli 2023,20:59:50,nan,
Minggu,16 Juli 2023,20:59:51,nan,
Minggu,16 Juli 2023,20:59:52,22.604651162790674,
Minggu,16 Juli 2023,20:59:53,nan,
Minggu,16 Juli 2023,20:59:54,nan,
