Hari,Tanggal,Waktu,Time to collision,Kategori SCE
Minggu,16 Juli 2023,10:24:46,nan,Crash
Minggu,16 Juli 2023,10:24:47,nan,Crash
Minggu,16 Juli 2023,10:24:48,nan,-
Minggu,16 Juli 2023,10:24:49,nan,-
Minggu,16 Juli 2023,10:24:50,nan,-
Minggu,16 Juli 2023,10:24:51,nan,-
Minggu,16 Juli 2023,10:24:52,nan,-
Minggu,16 Juli 2023,10:24:53,nan,-
Minggu,16 Juli 2023,10:24:54,nan,-
Minggu,16 Juli 2023,10:24:55,nan,-
Minggu,16 Juli 2023,10:24:56,nan,-
Minggu,16 Juli 2023,10:24:57,nan,Crash
Minggu,16 Juli 2023,10:24:58,nan,Crash
Minggu,16 Juli 2023,10:24:59,nan,-
Minggu,16 Juli 2023,10:25:00,nan,-
Minggu,16 Juli 2023,10:25:01,nan,-
Minggu,16 Juli 2023,10:25:02,nan,-
Minggu,16 Juli 2023,10:25:03,nan,-
Minggu,16 Juli 2023,10:25:04,nan,-
Minggu,16 Juli 2023,10:25:05,nan,Crash
Minggu,16 Juli 2023,10:25:06,nan,Crash
Minggu,16 Juli 2023,10:25:07,nan,-
Minggu,16 Juli 2023,10:25:08,nan,-
Minggu,16 Juli 2023,10:25:09,nan,-
Minggu,16 Juli 2023,10:25:10,nan,-
Minggu,16 Juli 2023,10:25:11,nan,-
Minggu,16 Juli 2023,10:25:12,nan,-
Minggu,16 Juli 2023,10:25:13,nan,-
Minggu,16 Juli 2023,10:25:14,nan,-
Minggu,16 Juli 2023,10:25:15,nan,-
Minggu,16 Juli 2023,10:25:16,nan,-
Minggu,16 Juli 2023,10:25:17,nan,-
Minggu,16 Juli 2023,10:25:18,nan,-
Minggu,16 Juli 2023,10:25:19,nan,-
Minggu,16 Juli 2023,10:25:20,nan,-
Minggu,16 Juli 2023,10:25:21,nan,-
Minggu,16 Juli 2023,10:25:22,nan,-
Minggu,16 Juli 2023,10:25:23,nan,-
Minggu,16 Juli 2023,10:25:24,nan,-
Minggu,16 Juli 2023,10:25:25,nan,-
Minggu,16 Juli 2023,10:25:26,nan,-
Minggu,16 Juli 2023,10:25:27,nan,-
Minggu,16 Juli 2023,10:25:28,nan,-
Minggu,16 Juli 2023,10:25:29,nan,-
Minggu,16 Juli 2023,10:25:30,nan,-
Minggu,16 Juli 2023,10:25:31,nan,-
Minggu,16 Juli 2023,10:25:32,nan,-
Minggu,16 Juli 2023,10:25:33,nan,-
Minggu,16 Juli 2023,10:25:34,nan,-
Minggu,16 Juli 2023,10:25:35,nan,-
Minggu,16 Juli 2023,10:25:36,nan,-
Minggu,16 Juli 2023,10:25:37,nan,-
Minggu,16 Juli 2023,10:25:38,nan,-
Minggu,16 Juli 2023,10:25:39,nan,-
Minggu,16 Juli 2023,10:25:40,nan,-
Minggu,16 Juli 2023,10:25:41,nan,-
Minggu,16 Juli 2023,10:25:42,nan,-
Minggu,16 Juli 2023,10:25:43,nan,-
Minggu,16 Juli 2023,10:25:44,nan,-
Minggu,16 Juli 2023,10:25:45,nan,-
