Hari,Tanggal,Waktu,Time to collision,Kategori SCE
Rabu,16 Agustus 2023,15:11:58,nan,-
Rabu,16 Agustus 2023,15:11:59,nan,-
Rabu,16 Agustus 2023,15:12:00,6850.800000006232,-
Rabu,16 Agustus 2023,15:12:01,nan,-
Rabu,16 Agustus 2023,15:12:02,nan,-
Rabu,16 Agustus 2023,15:12:03,nan,-
Rabu,16 Agustus 2023,15:12:04,nan,-
Rabu,16 Agustus 2023,15:12:05,nan,-
Rabu,16 Agustus 2023,15:12:06,6829.200000006212,-
Rabu,16 Agustus 2023,15:12:07,6966.000000006336,-
Rabu,16 Agustus 2023,15:12:08,7038.000000006402,-
Rabu,16 Agustus 2023,15:12:09,7077.600000006437,-
Rabu,16 Agustus 2023,15:12:10,nan,-
Rabu,16 Agustus 2023,15:12:11,3610.8000000007182,-
Rabu,16 Agustus 2023,15:12:12,3673.800000000731,-
Rabu,16 Agustus 2023,15:12:13,7462.800000006788,-
Rabu,16 Agustus 2023,15:12:14,51.72376681614373,-
Rabu,16 Agustus 2023,15:12:15,nan,-
Rabu,16 Agustus 2023,15:12:16,nan,-
Rabu,16 Agustus 2023,15:12:17,nan,-
Rabu,16 Agustus 2023,15:12:18,nan,-
Rabu,16 Agustus 2023,15:12:19,nan,-
Rabu,16 Agustus 2023,15:12:20,nan,-
Rabu,16 Agustus 2023,15:12:21,nan,-
Rabu,16 Agustus 2023,15:12:22,nan,-
Rabu,16 Agustus 2023,15:12:23,nan,-
Rabu,16 Agustus 2023,15:12:24,nan,-
Rabu,16 Agustus 2023,15:12:25,nan,-
Rabu,16 Agustus 2023,15:12:26,nan,-
Rabu,16 Agustus 2023,15:12:27,449.6000000000066,-
Rabu,16 Agustus 2023,15:12:28,93.36315789473709,-
Rabu,16 Agustus 2023,15:12:29,nan,-
Rabu,16 Agustus 2023,15:12:30,nan,-
Rabu,16 Agustus 2023,15:12:31,nan,-
Rabu,16 Agustus 2023,15:12:32,nan,-
Rabu,16 Agustus 2023,15:12:33,nan,-
Rabu,16 Agustus 2023,15:12:34,nan,-
Rabu,16 Agustus 2023,15:12:35,nan,-
Rabu,16 Agustus 2023,15:12:36,190.80000000000405,-
Rabu,16 Agustus 2023,15:12:37,1182.0000000001419,-
Rabu,16 Agustus 2023,15:12:38,516.2666666666743,-
Rabu,16 Agustus 2023,15:12:39,98.3538461538469,-
Rabu,16 Agustus 2023,15:12:40,1195.800000000238,-
Rabu,16 Agustus 2023,15:12:41,1874.700000000373,-
Rabu,16 Agustus 2023,15:12:42,1589.7600000000903,-
Rabu,16 Agustus 2023,15:12:43,1226.5714285715483,-
Rabu,16 Agustus 2023,15:12:44,1297.5428571429836,-
Rabu,16 Agustus 2023,15:12:45,1208.250000000026,-
Rabu,16 Agustus 2023,15:12:46,1456.9714285715706,-
Rabu,16 Agustus 2023,15:12:47,1563.4285714287237,-
Rabu,16 Agustus 2023,15:12:48,104.10177514792913,-
Rabu,16 Agustus 2023,15:12:49,nan,-
Rabu,16 Agustus 2023,15:12:50,nan,-
Rabu,16 Agustus 2023,15:12:51,nan,-
Rabu,16 Agustus 2023,15:12:52,nan,-
Rabu,16 Agustus 2023,15:12:53,nan,-
Rabu,16 Agustus 2023,15:12:54,nan,-
Rabu,16 Agustus 2023,15:12:55,nan,-
Rabu,16 Agustus 2023,15:12:56,nan,-
Rabu,16 Agustus 2023,15:12:57,nan,-
Rabu,16 Agustus 2023,15:12:58,nan,-
Rabu,16 Agustus 2023,15:12:59,nan,-
Rabu,16 Agustus 2023,15:13:00,nan,-
Rabu,16 Agustus 2023,15:13:01,nan,-
Rabu,16 Agustus 2023,15:13:02,nan,-
Rabu,16 Agustus 2023,15:13:03,nan,-
Rabu,16 Agustus 2023,15:13:04,nan,-
Rabu,16 Agustus 2023,15:13:05,nan,-
Rabu,16 Agustus 2023,15:13:06,nan,-
Rabu,16 Agustus 2023,15:13:07,681.8400000000389,-
Rabu,16 Agustus 2023,15:13:08,495.90000000001055,-
Rabu,16 Agustus 2023,15:13:09,575.1000000000122,-
Rabu,16 Agustus 2023,15:13:10,868.20000000007,-
Rabu,16 Agustus 2023,15:13:11,739.8000000000159,-
Rabu,16 Agustus 2023,15:13:12,726.8000000000299,-
Rabu,16 Agustus 2023,15:13:13,810.0000000000333,-
Rabu,16 Agustus 2023,15:13:14,900.000000000037,-
Rabu,16 Agustus 2023,15:13:15,894.9600000000509,-
Rabu,16 Agustus 2023,15:13:16,977.7600000000556,-
Rabu,16 Agustus 2023,15:13:17,1317.600000000028,-
Rabu,16 Agustus 2023,15:13:18,1846.7999999999302,-
Rabu,16 Agustus 2023,15:13:19,1465.6500000000315,-
Rabu,16 Agustus 2023,15:13:20,1760.4000000001715,-
Rabu,16 Agustus 2023,15:13:21,1844.7428571430369,-
Rabu,16 Agustus 2023,15:13:22,2294.3999999999132,-
Rabu,16 Agustus 2023,15:13:23,147.37674418604743,-
Rabu,16 Agustus 2023,15:13:24,nan,-
Rabu,16 Agustus 2023,15:13:25,nan,-
Rabu,16 Agustus 2023,15:13:26,733.4999999999721,-
Rabu,16 Agustus 2023,15:13:27,892.1454545454593,-
Rabu,16 Agustus 2023,15:13:28,1195.9999999999548,-
Rabu,16 Agustus 2023,15:13:29,2281.68000000013,-
Rabu,16 Agustus 2023,15:13:30,5841.000000001162,-
Rabu,16 Agustus 2023,15:13:31,2986.200000000594,-
Rabu,16 Agustus 2023,15:13:32,3053.7000000006074,-
Rabu,16 Agustus 2023,15:13:33,6251.400000001243,-
Rabu,16 Agustus 2023,15:13:34,12700.799999993504,-
Rabu,16 Agustus 2023,15:13:35,6465.600000001287,-
Rabu,16 Agustus 2023,15:13:36,nan,-
Rabu,16 Agustus 2023,15:13:37,6555.6000000013055,-
Rabu,16 Agustus 2023,15:13:38,1891.5428571430416,-
Rabu,16 Agustus 2023,15:13:39,3429.000000000682,-
Rabu,16 Agustus 2023,15:13:40,nan,-
Rabu,16 Agustus 2023,15:13:41,nan,-
Rabu,16 Agustus 2023,15:13:42,nan,-
Rabu,16 Agustus 2023,15:13:43,nan,-
Rabu,16 Agustus 2023,15:13:44,6474.600000001287,-
Rabu,16 Agustus 2023,15:13:45,3264.3000000006496,-
Rabu,16 Agustus 2023,15:13:46,6665.4000000013275,-
Rabu,16 Agustus 2023,15:13:47,1945.5428571430466,-
Rabu,16 Agustus 2023,15:13:48,2818.8000000001603,-
Rabu,16 Agustus 2023,15:13:49,2108.0571428573485,-
Rabu,16 Agustus 2023,15:13:50,1023.3599999999614,-
Rabu,16 Agustus 2023,15:13:51,nan,-
Rabu,16 Agustus 2023,15:13:52,nan,-
Rabu,16 Agustus 2023,15:13:53,nan,-
Rabu,16 Agustus 2023,15:13:54,4156.799999999843,-
Rabu,16 Agustus 2023,15:13:55,nan,-
Rabu,16 Agustus 2023,15:13:56,nan,-
Rabu,16 Agustus 2023,15:13:57,nan,-
Rabu,16 Agustus 2023,15:13:58,nan,-
Rabu,16 Agustus 2023,15:13:59,nan,-
Rabu,16 Agustus 2023,15:14:00,nan,-
Rabu,16 Agustus 2023,15:14:01,nan,-
Rabu,16 Agustus 2023,15:14:02,nan,-
Rabu,16 Agustus 2023,15:14:03,nan,-
Rabu,16 Agustus 2023,15:14:04,nan,-
Rabu,16 Agustus 2023,15:14:05,nan,-
Rabu,16 Agustus 2023,15:14:06,88.35616438356173,-
Rabu,16 Agustus 2023,15:14:07,nan,-
Rabu,16 Agustus 2023,15:14:08,nan,-
Rabu,16 Agustus 2023,15:14:09,nan,-
Rabu,16 Agustus 2023,15:14:10,nan,-
Rabu,16 Agustus 2023,15:14:11,nan,-
Rabu,16 Agustus 2023,15:14:12,nan,-
Rabu,16 Agustus 2023,15:14:13,nan,-
Rabu,16 Agustus 2023,15:14:14,nan,-
Rabu,16 Agustus 2023,15:14:15,nan,-
Rabu,16 Agustus 2023,15:14:16,nan,-
Rabu,16 Agustus 2023,15:14:17,nan,-
Rabu,16 Agustus 2023,15:14:18,nan,-
Rabu,16 Agustus 2023,15:14:19,nan,-
Rabu,16 Agustus 2023,15:14:20,nan,-
Rabu,16 Agustus 2023,15:14:21,nan,-
Rabu,16 Agustus 2023,15:14:22,nan,-
Rabu,16 Agustus 2023,15:14:23,nan,-
Rabu,16 Agustus 2023,15:14:24,nan,-
Rabu,16 Agustus 2023,15:14:25,nan,-
Rabu,16 Agustus 2023,15:14:26,nan,-
Rabu,16 Agustus 2023,15:14:27,nan,-
Rabu,16 Agustus 2023,15:14:28,nan,-
Rabu,16 Agustus 2023,15:14:29,nan,-
Rabu,16 Agustus 2023,15:14:30,nan,-
Rabu,16 Agustus 2023,15:14:31,nan,-
Rabu,16 Agustus 2023,15:14:32,nan,-
Rabu,16 Agustus 2023,15:14:33,nan,-
Rabu,16 Agustus 2023,15:14:34,nan,-
Rabu,16 Agustus 2023,15:14:35,nan,-
Rabu,16 Agustus 2023,15:14:36,nan,-
Rabu,16 Agustus 2023,15:14:37,nan,-
Rabu,16 Agustus 2023,15:14:38,nan,-
Rabu,16 Agustus 2023,15:14:39,nan,-
Rabu,16 Agustus 2023,15:14:40,nan,-
Rabu,16 Agustus 2023,15:14:41,nan,-
Rabu,16 Agustus 2023,15:14:42,nan,-
Rabu,16 Agustus 2023,15:14:43,nan,-
Rabu,16 Agustus 2023,15:14:44,nan,-
Rabu,16 Agustus 2023,15:14:45,nan,-
Rabu,16 Agustus 2023,15:14:46,nan,-
